CLASS_NM_1|CLASS_NM_2|CLASS_NM_3|CLASS_CD_1|CLASS_CD_2|CLASS_CD_3
교통편의|교통시설|공항|01|01|01
교통편의|교통시설|기차역|01|01|02
교통편의|교통시설|지하철역|01|01|03
교통편의|교통시설|항구|01|01|04
교통편의|교통시설|버스터미널|01|01|05
교통편의|교통시설|화물터미널|01|01|06
교통편의|교통시설|공항터미널|01|01|07
교통편의|교통시설|고속도로휴게소|01|01|10
교통편의|교통시설|고속도로 IC|01|01|11
교통편의|교통시설|톨게이트|01|01|12
교통편의|교통시설|고속도로 분기점|01|01|13
교통편의|교통시설|고가차도/지하차도|01|01|14
교통편의|교통시설|교차로|01|01|15
교통편의|교통시설|대교/철교|01|01|16
교통편의|교통시설|터널|01|01|17
교통편의|교통시설|버스정류장|01|01|18
교통편의|교통시설|일반/국도휴게소|01|01|21
교통편의|교통시설|검문소|01|01|23
교통편의|교통시설|요금소/매표소|01|01|24
교통편의|교통시설|램프|01|01|26
교통편의|교통시설|도시고속화도로IC|01|01|27
교통편의|교통시설|지하철출구번호|01|01|28
교통편의|교통시설|졸음쉼터|01|01|29
교통편의|교통시설|교통시설기타|01|01|99
교통편의|자동차시설|주유소|01|02|01
교통편의|자동차시설|가스충전소|01|02|02
교통편의|자동차시설|주차장|01|02|03
교통편의|자동차시설|렌트카|01|02|04
교통편의|자동차시설|자동차영업소|01|02|05
교통편의|자동차시설|직영서비스센터|01|02|06
교통편의|자동차시설|지정정비센터|01|02|07
교통편의|자동차시설|정비센터|01|02|08
교통편의|자동차시설|자동차부품점|01|02|09
교통편의|자동차시설|중고차매매|01|02|10
교통편의|자동차시설|자동차용품점|01|02|11
교통편의|자동차시설|자동차검사소|01|02|12
교통편의|자동차시설|견인차보관소|01|02|13
교통편의|자동차시설|차량등록사업소|01|02|14
교통편의|자동차시설|폐차장|01|02|15
교통편의|자동차시설|운전면허학원|01|02|16
교통편의|자동차시설|운전면허시험장|01|02|17
교통편의|자동차시설|세차장|01|02|18
교통편의|자동차시설|오토바이|01|02|19
교통편의|자동차시설|자전거|01|02|20
교통편의|자동차시설|자동차출고사무소|01|02|23
교통편의|자동차시설|EV충전소|01|02|25
교통편의|자동차시설|수소차충전소|01|02|26
교통편의|자동차시설|자동차시설기타|01|02|99
교통편의|교통편의기타|교통편의기타|01|99|99
생활편의|음식점|치킨|02|01|01
생활편의|음식점|일식|02|01|02
생활편의|음식점|중식|02|01|03
생활편의|음식점|부페|02|01|05
생활편의|음식점|패밀리레스토랑|02|01|06
생활편의|음식점|패스트푸드|02|01|07
생활편의|음식점|전문음식점|02|01|08
생활편의|음식점|분식|02|01|09
생활편의|음식점|배달음식점|02|01|10
생활편의|음식점|도시락전문|02|01|11
생활편의|음식점|제과점|02|01|13
생활편의|음식점|세계요리|02|01|14
생활편의|음식점|음식점기타|02|01|99
생활편의|카페|음악카페|02|02|01
생활편의|카페|테마카페|02|02|02
생활편의|카페|이색카페|02|02|03
생활편의|카페|전통찻집|02|02|04
생활편의|카페|키즈카페|02|02|06
생활편의|카페|카페기타|02|02|99
생활편의|술집|소주방|02|03|01
생활편의|술집|호프|02|03|02
생활편의|술집|병맥주 전문점|02|03|03
생활편의|술집|룸사롱/단란주점|02|03|04
